"fusion id","record id","rl confidence score","rl cluster type","dataset name"
"fs-1","rec-4100-org","0.9999908804893494","link","febrl4a"
"fs-1","rec-4100-dup-0","0.9999908804893494","link","febrl4b"
"fs-2","rec-3002-org","0.9999893307685852","link","febrl4a"
"fs-2","rec-3002-dup-0","0.9999893307685852","link","febrl4b"
"fs-3","rec-4737-org","0.9999886155128479","link","febrl4a"
"fs-3","rec-4737-dup-0","0.9999886155128479","link","febrl4b"
"fs-4","rec-3968-org","0.9999886155128479","link","febrl4a"
"fs-4","rec-3968-dup-0","0.9999886155128479","link","febrl4b"
"fs-5","rec-3197-org","0.9999886155128479","link","febrl4a"
"fs-5","rec-3197-dup-0","0.9999886155128479","link","febrl4b"
"fs-6","rec-2404-org","0.9999886155128479","link","febrl4a"
"fs-6","rec-2404-dup-0","0.9999886155128479","link","febrl4b"
"fs-7","rec-1360-org","0.9999886155128479","link","febrl4a"
"fs-7","rec-1360-dup-0","0.9999886155128479","link","febrl4b"
"fs-8","rec-87-org","0.9999881386756897","link","febrl4a"
"fs-8","rec-87-dup-0","0.9999881386756897","link","febrl4b"
"fs-9","rec-600-org","0.9999881386756897","link","febrl4a"
"fs-9","rec-600-dup-0","0.9999881386756897","link","febrl4b"
"fs-10","rec-4768-org","0.9999881386756897","link","febrl4a"
"fs-10","rec-4768-dup-0","0.9999881386756897","link","febrl4b"
"fs-11","rec-4605-org","0.9999881386756897","link","febrl4a"
"fs-11","rec-4605-dup-0","0.9999881386756897","link","febrl4b"
"fs-12","rec-4555-org","0.9999881386756897","link","febrl4a"
"fs-12","rec-4555-dup-0","0.9999881386756897","link","febrl4b"
"fs-13","rec-4384-org","0.9999881386756897","link","febrl4a"
"fs-13","rec-4384-dup-0","0.9999881386756897","link","febrl4b"
"fs-14","rec-3552-org","0.9999881386756897","link","febrl4a"
"fs-14","rec-3552-dup-0","0.9999881386756897","link","febrl4b"
"fs-15","rec-3192-org","0.9999881386756897","link","febrl4a"
"fs-15","rec-3192-dup-0","0.9999881386756897","link","febrl4b"
"fs-16","rec-3185-org","0.9999881386756897","link","febrl4a"
"fs-16","rec-3185-dup-0","0.9999881386756897","link","febrl4b"
"fs-17","rec-3042-org","0.9999881386756897","link","febrl4a"
"fs-17","rec-3042-dup-0","0.9999881386756897","link","febrl4b"
"fs-18","rec-2410-org","0.9999881386756897","link","febrl4a"
"fs-18","rec-2410-dup-0","0.9999881386756897","link","febrl4b"
"fs-19","rec-1446-org","0.9999881386756897","link","febrl4a"
"fs-19","rec-1446-dup-0","0.9999881386756897","link","febrl4b"
"fs-20","rec-4024-org","0.9999876022338867","link","febrl4a"
"fs-20","rec-4024-dup-0","0.9999876022338867","link","febrl4b"
"fs-21","rec-2500-org","0.9999875426292419","link","febrl4a"
"fs-21","rec-2500-dup-0","0.9999875426292419","link","febrl4b"
"fs-22","rec-4057-org","0.9999874234199524","link","febrl4a"
"fs-22","rec-4057-dup-0","0.9999874234199524","link","febrl4b"
"fs-23","rec-2244-org","0.9999873638153076","link","febrl4a"
"fs-23","rec-2244-dup-0","0.9999873638153076","link","febrl4b"
"fs-24","rec-1952-org","0.9999871850013733","link","febrl4a"
"fs-24","rec-1952-dup-0","0.9999871850013733","link","febrl4b"
"fs-25","rec-725-org","0.9999867677688599","link","febrl4a"
"fs-25","rec-725-dup-0","0.9999867677688599","link","febrl4b"
"fs-26","rec-1858-org","0.9999867081642151","link","febrl4a"
"fs-26","rec-1858-dup-0","0.9999867081642151","link","febrl4b"
"fs-27","rec-2063-org","0.9999866485595703","link","febrl4a"
"fs-27","rec-2063-dup-0","0.9999866485595703","link","febrl4b"
"fs-28","rec-4599-org","0.9999865293502808","link","febrl4a"
"fs-28","rec-4599-dup-0","0.9999865293502808","link","febrl4b"
"fs-29","rec-3383-org","0.9999865293502808","link","febrl4a"
"fs-29","rec-3383-dup-0","0.9999865293502808","link","febrl4b"
"fs-30","rec-1747-org","0.9999865293502808","link","febrl4a"
"fs-30","rec-1747-dup-0","0.9999865293502808","link","febrl4b"
"fs-31","rec-4389-org","0.999986469745636","link","febrl4a"
"fs-31","rec-4389-dup-0","0.999986469745636","link","febrl4b"
"fs-32","rec-959-org","0.9999864101409912","link","febrl4a"
"fs-32","rec-959-dup-0","0.9999864101409912","link","febrl4b"
"fs-33","rec-3671-org","0.9999864101409912","link","febrl4a"
"fs-33","rec-3671-dup-0","0.9999864101409912","link","febrl4b"
"fs-34","rec-1862-org","0.9999864101409912","link","febrl4a"
"fs-34","rec-1862-dup-0","0.9999864101409912","link","febrl4b"
"fs-35","rec-4726-org","0.9999862909317017","link","febrl4a"
"fs-35","rec-4726-dup-0","0.9999862909317017","link","febrl4b"
"fs-36","rec-2052-org","0.9999862909317017","link","febrl4a"
"fs-36","rec-2052-dup-0","0.9999862909317017","link","febrl4b"
"fs-37","rec-494-org","0.9999861121177673","link","febrl4a"
"fs-37","rec-494-dup-0","0.9999861121177673","link","febrl4b"
"fs-38","rec-4556-org","0.9999861121177673","link","febrl4a"
"fs-38","rec-4556-dup-0","0.9999861121177673","link","febrl4b"
"fs-39","rec-4550-org","0.9999861121177673","link","febrl4a"
"fs-39","rec-4550-dup-0","0.9999861121177673","link","febrl4b"
"fs-40","rec-4548-org","0.9999861121177673","link","febrl4a"
"fs-40","rec-4548-dup-0","0.9999861121177673","link","febrl4b"
"fs-41","rec-4390-org","0.9999861121177673","link","febrl4a"
"fs-41","rec-4390-dup-0","0.9999861121177673","link","febrl4b"
